Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,first_seen_date,last_updated,source
09/20/2025,5:00 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/20/2025,7:30 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/21/2025,2:15 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/21/2025,5:00 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/21/2025,7:30 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/22/2025,4:45 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/22/2025,7:15 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/23/2025,4:45 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/23/2025,7:15 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/24/2025,4:45 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/24/2025,7:15 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/25/2025,4:45 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/25/2025,7:15 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/20/2025,3:00 PM,SIFF Film Center,Kino Armenia: Calendar,75,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Calendar_1600x900.jpg,,,
